study	n	exercise	time	dob
Barstow1990	6	Rest	1.19	105.19
Barstow1990	6	Rest	3.20	80.95
Barstow1990	6	Rest	5.20	65.34
Barstow1990	6	Rest	6.70	54.01
Barstow1990	6	Rest	9.69	46.83
Barstow1990	6	Rest	12.69	39.64
Barstow1990	6	Rest	15.68	36.05
Barstow1990	6	Rest	21.66	30.53
Barstow1990	6	Rest	32.63	24.08
Barstow1990	6	Rest	45.08	19.46
Barstow1990	6	Rest	61.03	15.73
Barstow1990	6	Rest	90.42	11.85
Barstow1990	6	Rest	120.80	9.15
Barstow1990	6	Rest	180.08	4.72
Barstow1990	6	Rest	211.47	3.16
Barstow1990	6	Rest	234.88	2.32
