study	n	trial	dose	time	co2_ratio
Meineke1993	10	2	25	5	5.89E-06
Meineke1993	10	2	25	10	4.06E-04
Meineke1993	10	2	25	14	4.59E-04
Meineke1993	10	2	25	22	5.28E-04
Meineke1993	10	2	25	26	4.74E-04
Meineke1993	10	2	25	31	4.45E-04
Meineke1993	10	2	25	39	3.21E-04
Meineke1993	10	2	25	50	2.47E-04
Meineke1993	10	2	25	61	2.08E-04
Meineke1993	10	2	25	75	1.72E-04
Meineke1993	10	2	25	89	1.45E-04
Meineke1993	10	2	25	104	1.21E-04
Meineke1993	10	2	25	120	1.03E-04
Meineke1993	10	2	25	149	8.04E-05
Meineke1993	10	2	25	180	6.37E-05
Meineke1993	10	2	25	210	4.52E-05
Meineke1993	10	2	25	241	3.69E-05
