time	n	dob	dob_sd
0	15	0.26666666666666666	0.5236623169774794
1	15	193.61333333333334	51.35403738320441
3	15	127.15333333333336	9.528264386666763
5	15	90.85333333333332	11.723245663590305
7	15	75.15333333333335	9.106691068781364
9	15	63.45333333333333	11.278348972946153
12	15	54.519999999999996	7.954721868173644
15	15	46.25333333333334	5.4702671070270625
20	15	37.3	4.346799588969644
30	15	27.980000000000004	3.1273417892303783
45	15	20.646666666666665	2.5141908351506563
60	15	15.866666666666667	2.186829262247563
90	15	11.246666666666668	1.7161455519726627
120	15	8.293333333333333	1.4780467591460773
150	15	5.953333333333333	1.1774926279552194
180	15	4.4399999999999995	0.9386515150292289
240	15	2.613333333333333	0.7154175160158033
300	15	1.5733333333333335	0.7646059260967195
360	15	0.9500000000000001	0.8200609733428362
