study	n	trial	dose	time	co2_ratio
Meineke1993	10	1	25	4	1.62E-06
Meineke1993	10	1	25	11	2.25E-04
Meineke1993	10	1	25	13	5.28E-04
Meineke1993	10	1	25	20	5.00E-04
Meineke1993	10	1	25	25	4.59E-04
Meineke1993	10	1	25	29	3.69E-04
Meineke1993	10	1	25	41	2.32E-04
Meineke1993	10	1	25	51	1.89E-04
Meineke1993	10	1	25	59	1.70E-04
Meineke1993	10	1	25	76	1.39E-04
Meineke1993	10	1	25	91	1.15E-04
Meineke1993	10	1	25	104	9.25E-05
Meineke1993	10	1	25	118	7.80E-05
Meineke1993	10	1	25	148	5.89E-05
Meineke1993	10	1	25	177	4.67E-05
Meineke1993	10	1	25	210	3.37E-05
Meineke1993	10	1	25	240	2.47E-05

