study	n	time	recovery	recovery_pm_sd	recovery_sd
Leijssen1996	18	1	23.82	37.06	13.25
Leijssen1996	18	2	51.99	64.67	12.68
Leijssen1996	18	3	62.88	76.78	13.89
Leijssen1996	18	4	78.14	88.56	10.42
Leijssen1996	18	5	79.82	90.89	11.07
Leijssen1996	18	6	84.73	91.68	6.95
Leijssen1996	18	7	86.01	93.12	7.11
Leijssen1996	18	8	86.97	98.12	11.15
Leijssen1996	18	9	84.69	91.07	6.38
Leijssen1996	18	10	92.03	101.16	9.13
Leijssen1996	18	11	95.97	103.97	8.00
Leijssen1996	18	12	93.22	98.87	5.65

