study	n	trial	dose	time	co2_ratio
Meineke1993	10	1	12.5	5	2.93E-06
Meineke1993	10	1	12.5	11	4.52E-05
Meineke1993	10	1	12.5	15	1.08E-04
Meineke1993	10	1	12.5	20	1.59E-04
Meineke1993	10	1	12.5	25	1.59E-04
Meineke1993	10	1	12.5	31	1.43E-04
Meineke1993	10	1	12.5	40	1.32E-04
Meineke1993	10	1	12.5	50	1.17E-04
Meineke1993	10	1	12.5	59	1.10E-04
Meineke1993	10	1	12.5	76	8.56E-05
Meineke1993	10	1	12.5	91	7.21E-05
Meineke1993	10	1	12.5	105	5.71E-05
Meineke1993	10	1	12.5	119	4.52E-05
Meineke1993	10	1	12.5	148	3.47E-05
Meineke1993	10	1	12.5	180	2.47E-05
Meineke1993	10	1	12.5	210	1.67E-05
Meineke1993	10	1	12.5	239	1.32E-05

