study,group,dosing_strategy,name,time,value,sigma,BW,IVDOSE_apap,IVDOSE_co2c13,PODOSE_apap,PODOSE_co2c13,PODOSE_metc13,Ri_co2c13
Albert1974,capsule,NA,apap,0.1666666667,0.02,0.343558913639434,68,0,0,650,0,0,0
Albert1974,capsule,NA,apap,0.3333333333,1.73,0.358290333154738,68,0,0,650,0,0,0
Albert1974,capsule,NA,apap,0.5,2.38,0.370947607657709,68,0,0,650,0,0,0
Albert1974,capsule,NA,apap,0.6666666667,3.26,0.393383056839848,68,0,0,650,0,0,0
Albert1974,capsule,NA,apap,1,4.82,0.445309372917944,68,0,0,650,0,0,0
Albert1974,capsule,NA,apap,2,5.36,0.466147547279154,68,0,0,650,0,0,0
Albert1974,capsule,NA,apap,4,3.13,0.389718000317827,68,0,0,650,0,0,0
Albert1974,capsule,NA,apap,6,1.84,0.360178790018173,68,0,0,650,0,0,0
Albert1974,capsule,NA,apap,8,1.22,0.350961309588498,68,0,0,650,0,0,0
Albert1974,capsule,NA,apap,12,0.52,0.344913888545716,68,0,0,650,0,0,0
Albert1974,tablet,NA,apap,0.1666666667,2.06,0.48350257348757397,68,0,0,650,0,0,0
Albert1974,tablet,NA,apap,0.3333333333,4.24,0.99517034030812,68,0,0,650,0,0,0
Albert1974,tablet,NA,apap,0.5,4.91,1.15242603040958,68,0,0,650,0,0,0
Albert1974,tablet,NA,apap,0.6666666667,5.69,1.33549981894998,68,0,0,650,0,0,0
Albert1974,tablet,NA,apap,1,6.36,1.49275550914317,68,0,0,650,0,0,0
Albert1974,tablet,NA,apap,2,4.94,1.15946732996773,68,0,0,650,0,0,0
Albert1974,tablet,NA,apap,4,2.54,0.596163365935165,68,0,0,650,0,0,0
Albert1974,tablet,NA,apap,6,1.5,0.352064982796713,68,0,0,650,0,0,0
Albert1974,tablet,NA,apap,8,0.83,0.194809296090877,68,0,0,650,0,0,0
Albert1974,tablet,NA,apap,12,0.34,0.07980141482505,68,0,0,650,0,0,0
Baraka1990,NA,NA,apap,0.5,18.05,3.17893055673061,68,0,0,1500,0,0,0
Baraka1990,NA,NA,apap,1,17.72,3.12083859063788,68,0,0,1500,0,0,0
Baraka1990,NA,NA,apap,1.5,15.18,2.67372629339609,68,0,0,1500,0,0,0
Baraka1990,NA,NA,apap,2,13.61,2.39738485209002,68,0,0,1500,0,0,0
