study,group,dosing_strategy,name,time,value,sigma,BW,IVDOSE_apap,IVDOSE_co2c13,PODOSE_apap,PODOSE_co2c13,PODOSE_metc13,Ri_co2c13
Baraka1990,NA,NA,apap,3,8.48,1.49469335135824,68,0,0,1500,0,0,0
Baraka1990,NA,NA,apap,4,6.34,1.11841180468666,68,0,0,1500,0,0,0
Baraka1990,NA,NA,apap,5,5.05,0.891801813470782,68,0,0,1500,0,0,0
Baraka1990,NA,NA,apap,6,3.54,0.627032579745216,68,0,0,1500,0,0,0
Baraka1990,NA,NA,apap,8,2.01,0.360423903341175,68,0,0,1500,0,0,0
Baraka1990,NA,NA,apap,12,1.08,0.202017884943649,68,0,0,1500,0,0,0
Baraka1990,NA,NA,apap,24,0.38,0.0955293670844047,68,0,0,1500,0,0,0
Chiew2010,NA,NA,apap,0,1.4839,0.267133146529257,73,0,0,5600,0,0,0
Chiew2010,NA,NA,apap,0.5,69.4289,12.4963387806425,73,0,0,5600,0,0,0
Chiew2010,NA,NA,apap,0.8,86.0395,15.4860398001973,73,0,0,5600,0,0,0
Chiew2010,NA,NA,apap,1,69.4101,12.49295501496,73,0,0,5600,0,0,0
Chiew2010,NA,NA,apap,1.5,58.4108,10.5132181386163,73,0,0,5600,0,0,0
Chiew2010,NA,NA,apap,2,58.3906,10.5095823905105,73,0,0,5600,0,0,0
Chiew2010,NA,NA,apap,3,52.7144,9.48793718601216,73,0,0,5600,0,0,0
Chiew2010,NA,NA,apap,4,42.5881,7.66532957456731,73,0,0,5600,0,0,0
Chiew2010,NA,NA,apap,6,26.7826,4.82053734840478,73,0,0,5600,0,0,0
Chiew2010,NA,NA,apap,8,14.8381,2.6706782517628,73,0,0,5600,0,0,0
Chiew2010,NA,NA,apap,10,8.8305,1.58938841305975,73,0,0,5600,0,0,0
Chiew2010,NA,NA,apap,12,4.8989,0.88175604746419,73,0,0,5600,0,0,0
Chiew2010,NA,NA,apap,16,1.784,0.393313423108425,73,0,0,5600,0,0,0
Chiew2010,NA,NA,apap,24,0.8889,0.196049507692548,73,0,0,5600,0,0,0
Critchley2005,NA,NA,apap,0,0.14,1.1759190303524,68,0,0,1400,0,0,0
Critchley2005,NA,NA,apap,0.25,8.84,1.1759190880299,68,0,0,1400,0,0,0
Critchley2005,NA,NA,apap,0.5,14.75,1.17591919095617,68,0,0,1400,0,0,0
Critchley2005,NA,NA,apap,0.75,16.86,1.17591924019614,68,0,0,1400,0,0,0
Critchley2005,NA,NA,apap,1,16.66,1.17591923524682,68,0,0,1400,0,0,0
Critchley2005,NA,NA,apap,1.5,14.97,1.17591919578323,68,0,0,1400,0,0,0
Critchley2005,NA,NA,apap,2,14.03,1.17591917565819,68,0,0,1400,0,0,0
Critchley2005,NA,NA,apap,3,10.85,1.17591911724804,68,0,0,1400,0,0,0
Critchley2005,NA,NA,apap,4,8.22,1.17591908022115,68,0,0,1400,0,0,0
Critchley2005,NA,NA,apap,5,6.27,1.17591905936117,68,0,0,1400,0,0,0
Critchley2005,NA,NA,apap,6,4.72,1.17591904678524,68,0,0,1400,0,0,0
Critchley2005,NA,NA,apap,7,3.58,1.1759190397998,68,0,0,1400,0,0,0
Critchley2005,NA,NA,apap,8,2.58,1.1759190352521,68,0,0,1400,0,0,0
Critchley2005,NA,NA,apap,12,1.24,1.17591903147309,68,0,0,1400,0,0,0
Critchley2005,NA,NA,apap,24,0.61,1.17591903061264,68,0,0,1400,0,0,0
Rawlins1977,NA,NA,apap,0.25,19.861,1.92221670578348,75,1e3,0,0,0,0,0
Rawlins1977,NA,NA,apap,0.5,13.8346,1.37030046571283,75,1e3,0,0,0,0,0
Rawlins1977,NA,NA,apap,0.75,12.0803,1.21279987093793,75,1e3,0,0,0,0,0
Rawlins1977,NA,NA,apap,1,11.2248,1.13686610667942,75,1e3,0,0,0,0,0
Rawlins1977,NA,NA,apap,1.5,8.7049,0.918173588020972,75,1e3,0,0,0,0,0
Rawlins1977,NA,NA,apap,2,7.6011,0.82581792419283,75,1e3,0,0,0,0,0
Rawlins1977,NA,NA,apap,3,5.5395,0.662980689373843,75,1e3,0,0,0,0,0
Rawlins1977,NA,NA,apap,4,3.8369,0.544684039327643,75,1e3,0,0,0,0,0
Rawlins1977,NA,NA,apap,5,2.9924,0.495044714742069,75,1e3,0,0,0,0,0
Rawlins1977,NA,NA,apap,6,2.5116,0.470518400377153,75,1e3,0,0,0,0,0
Rawlins1977,NA,NA,apap,0,0.306,0.0466910837175802,75,0,0,1e3,0,0,0
Rawlins1977,NA,NA,apap,0.5,13.39,2.04310989128469,75,0,0,1e3,0,0,0
Rawlins1977,NA,NA,apap,1,12.9026,1.96874008115423,75,0,0,1e3,0,0,0
Rawlins1977,NA,NA,apap,2,8.0231,1.22420276454817,75,0,0,1e3,0,0,0
Rawlins1977,NA,NA,apap,3,4.9887,0.761199583235501,75,0,0,1e3,0,0,0
Rawlins1977,NA,NA,apap,4,3.9359,0.60055835415378,75,0,0,1e3,0,0,0
Rawlins1977,NA,NA,apap,5,2.8267,0.431311346902962,75,0,0,1e3,0,0,0
Rawlins1977,NA,NA,apap,6,2.2162,0.338158357555832,75,0,0,1e3,0,0,0
Rawlins1977,NA,NA,apap,0,0.3079,0.0761678597267762,75,0,0,2e3,0,0,0
Rawlins1977,NA,NA,apap,0.5,11.6637,2.88521918044142,75,0,0,2e3,0,0,0
Rawlins1977,NA,NA,apap,1,13.565,3.35553879658176,75,0,0,2e3,0,0,0
Rawlins1977,NA,NA,apap,2,20.153,4.98519517192606,75,0,0,2e3,0,0,0
Rawlins1977,NA,NA,apap,3,14.2935,3.53574594014859,75,0,0,2e3,0,0,0
Rawlins1977,NA,NA,apap,4,10.4603,2.5875372672669,75,0,0,2e3,0,0,0
Rawlins1977,NA,NA,apap,5,7.5125,1.85834769884001,75,0,0,2e3,0,0,0
Rawlins1977,NA,NA,apap,6,5.4633,1.35144248506089,75,0,0,2e3,0,0,0
Rawlins1977,NA,NA,apap,0,0.3079,0.131632336000999,75,0,0,500,0,0,0
Rawlins1977,NA,NA,apap,0.5,4.0211,0.475190842244634,75,0,0,500,0,0,0
Rawlins1977,NA,NA,apap,1,4.1514,0.489507276146333,75,0,0,500,0,0,0
Rawlins1977,NA,NA,apap,2,3.3376,0.400716178991211,75,0,0,500,0,0,0
Rawlins1977,NA,NA,apap,3,1.937,0.254478090741637,75,0,0,500,0,0,0
Rawlins1977,NA,NA,apap,4,1.4175,0.205322773433758,75,0,0,500,0,0,0
Rawlins1977,NA,NA,apap,5,1.0771,0.176477032045183,75,0,0,500,0,0,0
Rawlins1977,NA,NA,apap,6,0.7265,0.151469175812024,75,0,0,500,0,0,0
Barstow1990,NA,NA,dob_bic,0.0198333333333333,105.19,NA,75,0,73,0,0,0,0
Barstow1990,NA,NA,dob_bic,0.0533333333333333,80.95,NA,75,0,73,0,0,0,0
Barstow1990,NA,NA,dob_bic,0.0866666666666667,65.34,NA,75,0,73,0,0,0,0
Barstow1990,NA,NA,dob_bic,0.111666666666667,54.01,NA,75,0,73,0,0,0,0
Barstow1990,NA,NA,dob_bic,0.1615,46.83,NA,75,0,73,0,0,0,0
Barstow1990,NA,NA,dob_bic,0.2115,39.64,NA,75,0,73,0,0,0,0
Barstow1990,NA,NA,dob_bic,0.261333333333333,36.05,NA,75,0,73,0,0,0,0
Barstow1990,NA,NA,dob_bic,0.361,30.53,NA,75,0,73,0,0,0,0
Barstow1990,NA,NA,dob_bic,0.543833333333333,24.08,NA,75,0,73,0,0,0,0
Barstow1990,NA,NA,dob_bic,0.751333333333333,19.46,NA,75,0,73,0,0,0,0
Barstow1990,NA,NA,dob_bic,1.01716666666667,15.73,NA,75,0,73,0,0,0,0
Barstow1990,NA,NA,dob_bic,1.507,11.85,NA,75,0,73,0,0,0,0
Barstow1990,NA,NA,dob_bic,2.01333333333333,9.15,NA,75,0,73,0,0,0,0
Barstow1990,NA,NA,dob_bic,3.00133333333333,4.72,NA,75,0,73,0,0,0,0
Barstow1990,NA,NA,dob_bic,3.5245,3.16,NA,75,0,73,0,0,0,0
Barstow1990,NA,NA,dob_bic,3.91466666666667,2.32,NA,75,0,73,0,0,0,0
Irving1983,NA,NA,dob_bic,0,0.266666666666667,0.135209028846011,75,0,46.5,0,0,0,0
Irving1983,NA,NA,dob_bic,0.0166666666666667,193.613333333333,13.2595554363776,75,0,46.5,0,0,0,0
Irving1983,NA,NA,dob_bic,0.05,127.153333333333,2.46018728585477,75,0,46.5,0,0,0,0
Irving1983,NA,NA,dob_bic,0.0833333333333333,90.8533333333333,3.02692901457224,75,0,46.5,0,0,0,0
Irving1983,NA,NA,dob_bic,0.116666666666667,75.1533333333334,2.35133752322974,75,0,46.5,0,0,0,0
Irving1983,NA,NA,dob_bic,0.15,63.4533333333333,2.91205718299573,75,0,46.5,0,0,0,0
Irving1983,NA,NA,dob_bic,0.2,54.52,2.0539003546099,75,0,46.5,0,0,0,0
Irving1983,NA,NA,dob_bic,0.25,46.2533333333333,1.4124168936548,75,0,46.5,0,0,0,0
Irving1983,NA,NA,dob_bic,0.333333333333333,37.3,1.12233882782538,75,0,46.5,0,0,0,0
Irving1983,NA,NA,dob_bic,0.5,27.98,0.807476177839184,75,0,46.5,0,0,0,0
Irving1983,NA,NA,dob_bic,0.75,20.6466666666667,0.649161282248387,75,0,46.5,0,0,0,0
Irving1983,NA,NA,dob_bic,1,15.8666666666667,0.564636887578924,75,0,46.5,0,0,0,0
Irving1983,NA,NA,dob_bic,1.5,11.2466666666667,0.443106876163871,75,0,46.5,0,0,0,0
Irving1983,NA,NA,dob_bic,2,8.29333333333333,0.381630032205907,75,0,46.5,0,0,0,0
Irving1983,NA,NA,dob_bic,2.5,5.95333333333333,0.304027289223505,75,0,46.5,0,0,0,0
Irving1983,NA,NA,dob_bic,3,4.44,0.242358779040038,75,0,46.5,0,0,0,0
Irving1983,NA,NA,dob_bic,4,2.61333333333333,0.184720008340952,75,0,46.5,0,0,0,0
Irving1983,NA,NA,dob_bic,5,1.57333333333333,0.197420401212273,75,0,46.5,0,0,0,0
Irving1983,NA,NA,dob_bic,6,0.95,0.211738832842097,75,0,46.5,0,0,0,0
Mohr2018,NA,NA,dob_bic,0,0.0990513427634395,0.516842609509841,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.008333333333333333,57.2647506434627,4.15255809506785,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.016666666666666666,124.125869524582,5.59331323348392,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.025,71.7642786154907,2.75782144460036,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.03333333333333333,50.3133345595467,1.43794114343295,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.041666666666666664,42.4435023917145,1.06751700621176,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.05,37.7178695245816,0.926083730790231,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.058333333333333334,33.7084149791271,0.816214414146682,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.06666666666666667,30.7116527413648,0.72161643666366,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.075,28.3127786154907,0.684397241680058,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.08333333333333333,26.4729604336725,0.616518879089519,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.09166666666666666,24.7142331609453,0.597015573760028,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.1,23.2556877063998,0.571289841471151,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.10833333333333334,22.1941422518543,0.489956456050425,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.11666666666666667,21.5347786154907,0.436111571018694,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.125,20.3354044896166,0.481890155486223,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.13333333333333333,19.4701772168893,0.449487857911113,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.14166666666666666,18.7409953987075,0.463243194728118,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.15,18.245505888218,0.444916531683273,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.15833333333333333,17.7523240700362,0.440654298484291,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.16666666666666666,16.9500513427634,0.409700320026037,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.175,16.7213240700362,0.338999573470598,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.18333333333333332,16.0535967973089,0.338460075016355,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.19166666666666668,15.8283240700362,0.379219152831428,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.2,15.6848974966096,0.380154336175448,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.20833333333333334,15.0312331609453,0.369338200268377,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.21666666666666667,14.4746877063998,0.359029972031563,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.225,14.2936877063998,0.345376144685996,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.23333333333333334,14.0998695245816,0.366737800533559,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.24166666666666667,13.8618695245816,0.354665114272267,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.25,13.6706492448613,0.386866639823514,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.25833333333333336,13.3025828112949,0.359588465369299,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.26666666666666666,13.238505888218,0.361505883760203,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.275,12.6539604336725,0.376651715360411,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.2833333333333333,12.3768695245816,0.381461562475027,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.2916666666666667,12.3764149791271,0.40372870375627,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.3,12.1126877063998,0.392373263432551,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.30833333333333335,11.6768695245816,0.413627807334929,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.31666666666666665,11.3777786154907,0.459010124446788,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.325,11.1833240700362,0.440654044252448,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.3333333333333333,11.2030513427634,0.454349697778682,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.3416666666666667,11.1848695245816,0.407653057736801,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.35,10.8011632308753,0.42767811901567,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.35833333333333334,10.7047180094301,0.391099101005615,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.36666666666666664,10.6570933008054,0.395066892030845,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.375,11.0301422518543,0.454379050015495,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.38333333333333336,10.5962016924138,0.43690521962268,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.39166666666666666,10.3698127063998,0.415448570415806,81.3,0,16.54,0,0,0,0
Mohr2018,NA,NA,dob_bic,0.4,10.0602471469592,0.362641783299437,81.3,0,16.54,0,0,0,0
Fuller2000,C13,NA,recovery_bic,1,24.9,0.734846922834954,75,0,0,0,0,0,0.79
Fuller2000,C13,NA,recovery_bic,2,62,1.91876696518016,75,0,0,0,0,0,0.79
Fuller2000,C13,NA,recovery_bic,3,78.4,2.40866491373679,75,0,0,0,0,0,0.79
Fuller2000,C13,NA,recovery_bic,4,88.9,0.938971068066885,75,0,0,0,0,0,0.79
Fuller2000,C13,NA,recovery_bic,5,92.7,1.22474487139159,75,0,0,0,0,0,0.79
Fuller2000,C13,NA,recovery_bic,6,90,2.36784008469041,75,0,0,0,0,0,0.79
Fuller2000,C14,NA,recovery_bic,1,24.7,0.77567175188134,75,0,0,0,0,0,0.79
Fuller2000,C14,NA,recovery_bic,2,61.4,1.95959179422654,75,0,0,0,0,0,0.79
Fuller2000,C14,NA,recovery_bic,3,77.6,2.36784008469041,75,0,0,0,0,0,0.79
Fuller2000,C14,NA,recovery_bic,4,88.3,0.938971068066885,75,0,0,0,0,0,0.79
Fuller2000,C14,NA,recovery_bic,5,92.1,1.34721935853075,75,0,0,0,0,0,0.79
Fuller2000,C14,NA,recovery_bic,6,89.3,2.00041662327293,75,0,0,0,0,0,0.79
Leijssen1996,NA,NA,recovery_bic,1,23.82,3.12305495024059,75,0,0,0,0,0,1
Leijssen1996,NA,NA,recovery_bic,2,51.99,2.98870466181514,75,0,0,0,0,0,1
Leijssen1996,NA,NA,recovery_bic,3,62.88,3.27390439689372,75,0,0,0,0,0,1
Leijssen1996,NA,NA,recovery_bic,4,78.14,2.45601755332128,75,0,0,0,0,0,1
Leijssen1996,NA,NA,recovery_bic,5,79.82,2.60922402257836,75,0,0,0,0,0,1
Leijssen1996,NA,NA,recovery_bic,6,84.73,1.63813070974884,75,0,0,0,0,0,1
Leijssen1996,NA,NA,recovery_bic,7,86.01,1.67584307141212,75,0,0,0,0,0,1
Leijssen1996,NA,NA,recovery_bic,8,86.97,2.62808020341,75,0,0,0,0,0,1
Leijssen1996,NA,NA,recovery_bic,9,84.69,1.50378042132339,75,0,0,0,0,0,1
Leijssen1996,NA,NA,recovery_bic,10,92.03,2.15196163741106,75,0,0,0,0,0,1
Leijssen1996,NA,NA,recovery_bic,11,95.97,1.88561808316413,75,0,0,0,0,0,1
Leijssen1996,NA,NA,recovery_bic,12,93.22,1.33171777123466,75,0,0,0,0,0,1
Meineke1993,NA,NA,co2_ratio_bic,0.0666666666666667,1.21e-5,NA,75,0,0,0,100,0,0
Meineke1993,NA,NA,co2_ratio_bic,0.166666666666667,6.17e-4,NA,75,0,0,0,100,0,0
Meineke1993,NA,NA,co2_ratio_bic,0.266666666666667,0.00119,NA,75,0,0,0,100,0,0
Meineke1993,NA,NA,co2_ratio_bic,0.316666666666667,0.00189,NA,75,0,0,0,100,0,0
Meineke1993,NA,NA,co2_ratio_bic,0.433333333333333,0.00218,NA,75,0,0,0,100,0,0
Meineke1993,NA,NA,co2_ratio_bic,0.483333333333333,0.00208,NA,75,0,0,0,100,0,0
Meineke1993,NA,NA,co2_ratio_bic,0.666666666666667,0.00126,NA,75,0,0,0,100,0,0
Meineke1993,NA,NA,co2_ratio_bic,0.85,9.69e-4,NA,75,0,0,0,100,0,0
Meineke1993,NA,NA,co2_ratio_bic,1.01666666666667,8.56e-4,NA,75,0,0,0,100,0,0
Meineke1993,NA,NA,co2_ratio_bic,1.25,6.99e-4,NA,75,0,0,0,100,0,0
Meineke1993,NA,NA,co2_ratio_bic,1.5,5.71e-4,NA,75,0,0,0,100,0,0
Meineke1993,NA,NA,co2_ratio_bic,1.73333333333333,5.04e-4,NA,75,0,0,0,100,0,0
Meineke1993,NA,NA,co2_ratio_bic,1.98333333333333,4.12e-4,NA,75,0,0,0,100,0,0
Meineke1993,NA,NA,co2_ratio_bic,2.46666666666667,2.93e-4,NA,75,0,0,0,100,0,0
Meineke1993,NA,NA,co2_ratio_bic,3,2.35e-4,NA,75,0,0,0,100,0,0
Meineke1993,NA,NA,co2_ratio_bic,3.46666666666667,1.75e-4,NA,75,0,0,0,100,0,0
Meineke1993,NA,NA,co2_ratio_bic,3.98333333333333,1.39e-4,NA,75,0,0,0,100,0,0
Meineke1993,NA,NA,co2_ratio_bic,0.0833333333333333,2.93e-6,NA,75,0,0,0,12.5,0,0
Meineke1993,NA,NA,co2_ratio_bic,0.183333333333333,4.52e-5,NA,75,0,0,0,12.5,0,0
Meineke1993,NA,NA,co2_ratio_bic,0.25,1.08e-4,NA,75,0,0,0,12.5,0,0
Meineke1993,NA,NA,co2_ratio_bic,0.333333333333333,1.59e-4,NA,75,0,0,0,12.5,0,0
Meineke1993,NA,NA,co2_ratio_bic,0.416666666666667,1.59e-4,NA,75,0,0,0,12.5,0,0
Meineke1993,NA,NA,co2_ratio_bic,0.516666666666667,1.43e-4,NA,75,0,0,0,12.5,0,0
Meineke1993,NA,NA,co2_ratio_bic,0.666666666666667,1.32e-4,NA,75,0,0,0,12.5,0,0
Meineke1993,NA,NA,co2_ratio_bic,0.833333333333333,1.17e-4,NA,75,0,0,0,12.5,0,0
Meineke1993,NA,NA,co2_ratio_bic,0.983333333333333,1.1e-4,NA,75,0,0,0,12.5,0,0
Meineke1993,NA,NA,co2_ratio_bic,1.26666666666667,8.56e-5,NA,75,0,0,0,12.5,0,0
Meineke1993,NA,NA,co2_ratio_bic,1.51666666666667,7.21e-5,NA,75,0,0,0,12.5,0,0
Meineke1993,NA,NA,co2_ratio_bic,1.75,5.71e-5,NA,75,0,0,0,12.5,0,0
Meineke1993,NA,NA,co2_ratio_bic,1.98333333333333,4.52e-5,NA,75,0,0,0,12.5,0,0
Meineke1993,NA,NA,co2_ratio_bic,2.46666666666667,3.47e-5,NA,75,0,0,0,12.5,0,0
Meineke1993,NA,NA,co2_ratio_bic,3,2.47e-5,NA,75,0,0,0,12.5,0,0
Meineke1993,NA,NA,co2_ratio_bic,3.5,1.67e-5,NA,75,0,0,0,12.5,0,0
Meineke1993,NA,NA,co2_ratio_bic,3.98333333333333,1.32e-5,NA,75,0,0,0,12.5,0,0
Meineke1993,NA,NA,co2_ratio_bic,0.0666666666666667,1.62e-6,NA,75,0,0,0,25,0,0
Meineke1993,NA,NA,co2_ratio_bic,0.183333333333333,2.25e-4,NA,75,0,0,0,25,0,0
Meineke1993,NA,NA,co2_ratio_bic,0.216666666666667,5.28e-4,NA,75,0,0,0,25,0,0
Meineke1993,NA,NA,co2_ratio_bic,0.333333333333333,5e-4,NA,75,0,0,0,25,0,0
Meineke1993,NA,NA,co2_ratio_bic,0.416666666666667,4.59e-4,NA,75,0,0,0,25,0,0
Meineke1993,NA,NA,co2_ratio_bic,0.483333333333333,3.69e-4,NA,75,0,0,0,25,0,0
Meineke1993,NA,NA,co2_ratio_bic,0.683333333333333,2.32e-4,NA,75,0,0,0,25,0,0
Meineke1993,NA,NA,co2_ratio_bic,0.85,1.89e-4,NA,75,0,0,0,25,0,0
Meineke1993,NA,NA,co2_ratio_bic,0.983333333333333,1.7e-4,NA,75,0,0,0,25,0,0
Meineke1993,NA,NA,co2_ratio_bic,1.26666666666667,1.39e-4,NA,75,0,0,0,25,0,0
Meineke1993,NA,NA,co2_ratio_bic,1.51666666666667,1.15e-4,NA,75,0,0,0,25,0,0
Meineke1993,NA,NA,co2_ratio_bic,1.73333333333333,9.25e-5,NA,75,0,0,0,25,0,0
Meineke1993,NA,NA,co2_ratio_bic,1.96666666666667,7.8e-5,NA,75,0,0,0,25,0,0
Meineke1993,NA,NA,co2_ratio_bic,2.46666666666667,5.89e-5,NA,75,0,0,0,25,0,0
Meineke1993,NA,NA,co2_ratio_bic,2.95,4.67e-5,NA,75,0,0,0,25,0,0
Meineke1993,NA,NA,co2_ratio_bic,3.5,3.37e-5,NA,75,0,0,0,25,0,0
Meineke1993,NA,NA,co2_ratio_bic,4,2.47e-5,NA,75,0,0,0,25,0,0
Meineke1993,NA,NA,co2_ratio_bic,0.0833333333333333,5.89e-6,NA,75,0,0,0,25,0,0
Meineke1993,NA,NA,co2_ratio_bic,0.166666666666667,4.06e-4,NA,75,0,0,0,25,0,0
Meineke1993,NA,NA,co2_ratio_bic,0.233333333333333,4.59e-4,NA,75,0,0,0,25,0,0
Meineke1993,NA,NA,co2_ratio_bic,0.366666666666667,5.28e-4,NA,75,0,0,0,25,0,0
Meineke1993,NA,NA,co2_ratio_bic,0.433333333333333,4.74e-4,NA,75,0,0,0,25,0,0
Meineke1993,NA,NA,co2_ratio_bic,0.516666666666667,4.45e-4,NA,75,0,0,0,25,0,0
Meineke1993,NA,NA,co2_ratio_bic,0.65,3.21e-4,NA,75,0,0,0,25,0,0
Meineke1993,NA,NA,co2_ratio_bic,0.833333333333333,2.47e-4,NA,75,0,0,0,25,0,0
Meineke1993,NA,NA,co2_ratio_bic,1.01666666666667,2.08e-4,NA,75,0,0,0,25,0,0
Meineke1993,NA,NA,co2_ratio_bic,1.25,1.72e-4,NA,75,0,0,0,25,0,0
Meineke1993,NA,NA,co2_ratio_bic,1.48333333333333,1.45e-4,NA,75,0,0,0,25,0,0
Meineke1993,NA,NA,co2_ratio_bic,1.73333333333333,1.21e-4,NA,75,0,0,0,25,0,0
Meineke1993,NA,NA,co2_ratio_bic,2,1.03e-4,NA,75,0,0,0,25,0,0
Meineke1993,NA,NA,co2_ratio_bic,2.48333333333333,8.04e-5,NA,75,0,0,0,25,0,0
