study	n	substance	time	apap_mol	apap_mol_se	apap_mol_sd	apap	apap_se	apap_sd	apap_mol_glu	apap_mol_glu_se	apap_mol_glu_sd	apap_glu	apap_glu_se	apap_glu_sd	apap_sul_mol	apap_sul_mol_se	apap_sul_mol_sd	apap_sul	apap_sul_se	apap_sul_sd
Chiew2010	9	paracetamol	0.0	9.8165	NA	NA	1.4839	NA	NA	4.4692	NA	NA	1.4627	NA	NA	0.95	NA	NA	0.22	NA	NA
Chiew2010	9	paracetamol	0.5	459.3074	139.3943	418.18	69.4289	21.0708	63.2125	35.7133	8.9419	26.83	11.6886	2.9266	8.7798	25.69	NA	NA	5.94	NA	NA
Chiew2010	9	paracetamol	0.8	569.195	137.4215	412.26	86.0395	20.7726	62.3179	77.0311	13.4038	40.21	25.2115	4.3869	13.1608	42.82	NA	NA	9.9	NA	NA
Chiew2010	9	paracetamol	1.0	459.1833	98.1555	294.47	69.4101	14.8372	44.5116	111.6416	21.2285	63.69	36.5392	6.9479	20.8436	51.39	NA	NA	11.88	NA	NA
Chiew2010	9	paracetamol	1.5	386.4171	56.9357	170.81	58.4108	8.6064	25.8192	183.0972	34.636	103.91	59.9259	11.336	34.008	58.99	NA	NA	13.64	NA	NA
Chiew2010	9	paracetamol	2.0	386.2834	31.4224	94.27	58.3906	4.7498	14.2494	243.3762	36.8814	110.64	79.6546	12.0709	36.2127	73.25	NA	NA	16.94	NA	NA
Chiew2010	9	paracetamol	3.0	348.7325	11.8085	35.43	52.7144	1.785	5.3549	314.7991	22.3494	67.05	103.0306	7.3147	21.9442	84.64	9.53	28.58	19.57	2.2	6.61
Chiew2010	9	paracetamol	4.0	281.7416	9.8165	29.45	42.5881	1.4839	4.4516	329.2293	20.1075	60.32	107.7535	6.581	19.743	93.17	8.58	25.73	21.54	1.98	5.95
Chiew2010	9	paracetamol	6.0	177.1807	NA	NA	26.7826	NA	NA	283.2316	16.7593	50.28	92.6989	5.4852	16.4555	85.47	7.62	22.85	19.76	1.76	5.28
Chiew2010	9	paracetamol	8.0	98.1619	NA	NA	14.8381	NA	NA	198.136	14.5248	43.57	64.8479	4.7538	14.2614	69.21	6.66	19.98	16.0	1.54	4.62
Chiew2010	9	paracetamol	10.0	58.4185	NA	NA	8.8305	NA	NA	138.7345	8.931	26.79	45.4064	2.923	8.7691	54.84	3.81	11.43	12.68	0.88	2.64
Chiew2010	9	paracetamol	12.0	32.4088	NA	NA	4.8989	NA	NA	90.5094	7.8101	23.43	29.6228	2.5562	7.6685	37.62	9.52	28.57	8.7	2.2	6.61
Chiew2010	6	paracetamol	16.0	11.8021	NA	NA	1.784	NA	NA	44.3264	5.5755	13.66	14.5076	1.8248	4.4699	19.37	NA	NA	4.48	NA	NA
Chiew2010	6	paracetamol	24.0	5.8804	NA	NA	0.8889	NA	NA	11.1801	NA	NA	3.6592	NA	NA	6.67	NA	NA	1.54	NA	NA
