model,simulation,study,group,subjects,observer,time,value,sigma,BW,PODOSE_apap,IVDOSE_apap,PODOSE_co2c13,IVDOSE_co2c13,Ri_co2c13,ti_co2c13,PODOSE_metc13,IVDOSE_metc13,ti_metc13
limax_pkpd_v50,apap,Rawlins1977,IV_D1000,6,Mve_apap,0.5,13.8346,1.2752,75,0,1000,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Rawlins1977,IV_D1000,6,Mve_apap,0.75,12.0803,1.3202,75,0,1000,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Rawlins1977,IV_D1000,6,Mve_apap,1,11.2248,0.9376,75,0,1000,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Rawlins1977,IV_D1000,6,Mve_apap,1.5,8.7049,0.9431,75,0,1000,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Rawlins1977,IV_D1000,6,Mve_apap,2,7.6011,0.7683,75,0,1000,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Rawlins1977,IV_D1000,6,Mve_apap,3,5.5395,0.7803,75,0,1000,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Rawlins1977,IV_D1000,6,Mve_apap,4,3.8369,0.5205,75,0,1000,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Rawlins1977,IV_D1000,6,Mve_apap,5,2.9924,0.5285,75,0,1000,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Rawlins1977,IV_D1000,6,Mve_apap,6,2.5116,0.4232,75,0,1000,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Rawlins1977,ORAL_D500,6,Mve_apap,0,0.3079,NaN,75,500,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Rawlins1977,ORAL_D500,6,Mve_apap,0.5,4.0211,0.5081,75,500,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Rawlins1977,ORAL_D500,6,Mve_apap,1,4.1514,0.3805,75,500,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Rawlins1977,ORAL_D500,6,Mve_apap,2,3.3376,0.3747,75,500,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Rawlins1977,ORAL_D500,6,Mve_apap,3,1.937,0.1775,75,500,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Rawlins1977,ORAL_D500,6,Mve_apap,4,1.4175,0.3038,75,500,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Rawlins1977,ORAL_D500,6,Mve_apap,5,1.0771,0.2145,75,500,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Rawlins1977,ORAL_D500,6,Mve_apap,6,0.7265,0.0716,75,500,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Rawlins1977,ORAL_D1000,6,Mve_apap,0,0.306,NaN,75,1000,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Rawlins1977,ORAL_D1000,6,Mve_apap,0.5,13.39,3.0753,75,1000,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Rawlins1977,ORAL_D1000,6,Mve_apap,1,12.9026,3.2644,75,1000,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Rawlins1977,ORAL_D1000,6,Mve_apap,2,8.0231,0.7356,75,1000,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Rawlins1977,ORAL_D1000,6,Mve_apap,3,4.9887,0.4574,75,1000,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Rawlins1977,ORAL_D1000,6,Mve_apap,4,3.9359,0.4149,75,1000,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Rawlins1977,ORAL_D1000,6,Mve_apap,5,2.8267,0.298,75,1000,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Rawlins1977,ORAL_D1000,6,Mve_apap,6,2.2162,0.1881,75,1000,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Rawlins1977,ORAL_D2000,6,Mve_apap,0,0.3079,NaN,75,2000,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Rawlins1977,ORAL_D2000,6,Mve_apap,0.5,11.6637,5.0566,75,2000,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Rawlins1977,ORAL_D2000,6,Mve_apap,1,13.565,3.5226,75,2000,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Rawlins1977,ORAL_D2000,6,Mve_apap,2,20.153,3.0131,75,2000,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Rawlins1977,ORAL_D2000,6,Mve_apap,3,14.2935,2.9705,75,2000,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Rawlins1977,ORAL_D2000,6,Mve_apap,4,10.4603,2.0152,75,2000,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Rawlins1977,ORAL_D2000,6,Mve_apap,5,7.5125,1.3266,75,2000,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Rawlins1977,ORAL_D2000,6,Mve_apap,6,5.4633,1.0794,75,2000,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Albert1974,capsule,10,Mve_apap,0.1666666667,0.02,0.01,68,650,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Albert1974,capsule,10,Mve_apap,0.3333333333,1.73,0.739,68,650,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Albert1974,capsule,10,Mve_apap,0.5,2.38,0.628,68,650,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Albert1974,capsule,10,Mve_apap,0.6666666667,3.26,0.44,68,650,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Albert1974,capsule,10,Mve_apap,1,4.82,0.375,68,650,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Albert1974,capsule,10,Mve_apap,2,5.36,0.39,68,650,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Albert1974,capsule,10,Mve_apap,4,3.13,0.129,68,650,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Albert1974,capsule,10,Mve_apap,6,1.84,0.08,68,650,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Albert1974,capsule,10,Mve_apap,8,1.22,0.084,68,650,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Albert1974,capsule,10,Mve_apap,12,0.52,0.037,68,650,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Albert1974,tablet,10,Mve_apap,0.1666666667,2.06,1.042,68,650,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Albert1974,tablet,10,Mve_apap,0.3333333333,4.24,1.81,68,650,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Albert1974,tablet,10,Mve_apap,0.5,4.91,1.295,68,650,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Albert1974,tablet,10,Mve_apap,0.6666666667,5.69,0.768,68,650,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Albert1974,tablet,10,Mve_apap,1,6.36,0.495,68,650,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Albert1974,tablet,10,Mve_apap,2,4.94,0.359,68,650,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Albert1974,tablet,10,Mve_apap,4,2.54,0.104,68,650,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Albert1974,tablet,10,Mve_apap,6,1.5,0.065,68,650,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Albert1974,tablet,10,Mve_apap,8,0.83,0.057,68,650,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Albert1974,tablet,10,Mve_apap,12,0.34,0.024,68,650,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Baraka1990,NaN,10,Mve_apap,0.5,18.05,1.42,68,1500,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Baraka1990,NaN,10,Mve_apap,1,17.72,1.69,68,1500,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Baraka1990,NaN,10,Mve_apap,1.5,15.18,1.94,68,1500,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Baraka1990,NaN,10,Mve_apap,2,13.61,1.63,68,1500,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Baraka1990,NaN,10,Mve_apap,3,8.48,1.28,68,1500,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Baraka1990,NaN,10,Mve_apap,4,6.34,1.05,68,1500,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Baraka1990,NaN,10,Mve_apap,5,5.05,1.14,68,1500,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Baraka1990,NaN,10,Mve_apap,6,3.54,0.82,68,1500,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Baraka1990,NaN,10,Mve_apap,8,2.01,0.52,68,1500,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Baraka1990,NaN,10,Mve_apap,12,1.08,0.27,68,1500,0,0,0,0,10,0,0,10
limax_pkpd_v50,apap,Baraka1990,NaN,10,Mve_apap,24,0.38,0.08,68,1500,0,0,0,0,10,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,0,0.09905134276344,0.516842609509841,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,0.5,57.2647506434627,4.15255809506785,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,1,124.125869524582,5.59331323348393,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,1.5,71.7642786154907,2.75782144460037,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,2,50.3133345595467,1.43794114343295,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,2.5,42.4435023917145,1.06751700621176,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,3,37.7178695245816,0.926083730790231,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,3.5,33.7084149791271,0.816214414146682,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,4,30.7116527413648,0.72161643666366,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,4.5,28.3127786154907,0.684397241680058,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,5,26.4729604336725,0.616518879089519,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,5.5,24.7142331609452,0.597015573760028,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,6,23.2556877063998,0.571289841471151,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,6.5,22.1941422518544,0.489956456050425,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,7,21.5347786154907,0.436111571018694,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,7.5,20.3354044896166,0.481890155486223,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,8,19.4701772168893,0.449487857911113,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,8.5,18.7409953987075,0.463243194728118,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,9,18.245505888218,0.444916531683273,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,9.5,17.7523240700362,0.440654298484291,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,10,16.9500513427634,0.409700320026037,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,10.5,16.7213240700362,0.338999573470598,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,11,16.0535967973089,0.338460075016355,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,11.5,15.8283240700362,0.379219152831428,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,12,15.6848974966096,0.380154336175448,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,12.5,15.0312331609453,0.369338200268377,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,13,14.4746877063998,0.359029972031563,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,13.5,14.2936877063998,0.345376144685996,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,14,14.0998695245816,0.366737800533559,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,14.5,13.8618695245816,0.354665114272267,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,15,13.6706492448613,0.386866639823514,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,15.5,13.3025828112949,0.359588465369298,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,16,13.238505888218,0.361505883760203,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,16.5,12.6539604336725,0.376651715360411,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,17,12.3768695245816,0.381461562475027,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,17.5,12.3764149791271,0.40372870375627,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,18,12.1126877063998,0.392373263432551,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,18.5,11.6768695245816,0.413627807334929,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,19,11.3777786154907,0.459010124446788,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,19.5,11.1833240700362,0.440654044252448,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,20,11.2030513427634,0.454349697778683,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,20.5,11.1848695245816,0.407653057736801,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,21,10.8011632308753,0.42767811901567,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,21.5,10.7047180094301,0.391099101005615,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,22,10.6570933008054,0.395066892030845,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,22.5,11.0301422518544,0.454379050015495,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,23,10.5962016924138,0.43690521962268,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,23.5,10.3698127063998,0.415448570415806,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Mohr2018,NaN,44,DOB,24,10.0602471469592,0.362641783299437,81.2477272727273,0,0,0,16.5282251590909,0,30,0,0,10
limax_pkpd_v50,bicarbonate,Irving1983,NaN,15,DOB,0,0.266666666666667,0.135209028846011,63.2,0,0,0,39.20928,0,10,0,0,10
limax_pkpd_v50,bicarbonate,Irving1983,NaN,15,DOB,0.016666666666667,193.613333333333,13.2595554363776,63.2,0,0,0,39.20928,0,10,0,0,10
limax_pkpd_v50,bicarbonate,Irving1983,NaN,15,DOB,0.05,127.153333333333,2.46018728585477,63.2,0,0,0,39.20928,0,10,0,0,10
limax_pkpd_v50,bicarbonate,Irving1983,NaN,15,DOB,0.083333333333333,90.8533333333333,3.02692901457224,63.2,0,0,0,39.20928,0,10,0,0,10
limax_pkpd_v50,bicarbonate,Irving1983,NaN,15,DOB,0.116666666666667,75.1533333333333,2.35133752322974,63.2,0,0,0,39.20928,0,10,0,0,10
limax_pkpd_v50,bicarbonate,Irving1983,NaN,15,DOB,0.15,63.4533333333333,2.91205718299573,63.2,0,0,0,39.20928,0,10,0,0,10
limax_pkpd_v50,bicarbonate,Irving1983,NaN,15,DOB,0.2,54.52,2.0539003546099,63.2,0,0,0,39.20928,0,10,0,0,10
limax_pkpd_v50,bicarbonate,Irving1983,NaN,15,DOB,0.25,46.2533333333333,1.4124168936548,63.2,0,0,0,39.20928,0,10,0,0,10
limax_pkpd_v50,bicarbonate,Irving1983,NaN,15,DOB,0.333333333333333,37.3,1.12233882782538,63.2,0,0,0,39.20928,0,10,0,0,10
limax_pkpd_v50,bicarbonate,Irving1983,NaN,15,DOB,0.5,27.98,0.807476177839184,63.2,0,0,0,39.20928,0,10,0,0,10
limax_pkpd_v50,bicarbonate,Irving1983,NaN,15,DOB,0.75,20.6466666666667,0.649161282248387,63.2,0,0,0,39.20928,0,10,0,0,10
limax_pkpd_v50,bicarbonate,Irving1983,NaN,15,DOB,1,15.8666666666667,0.564636887578924,63.2,0,0,0,39.20928,0,10,0,0,10
limax_pkpd_v50,bicarbonate,Irving1983,NaN,15,DOB,1.5,11.2466666666667,0.443106876163871,63.2,0,0,0,39.20928,0,10,0,0,10
limax_pkpd_v50,bicarbonate,Irving1983,NaN,15,DOB,2,8.29333333333333,0.381630032205907,63.2,0,0,0,39.20928,0,10,0,0,10
limax_pkpd_v50,bicarbonate,Irving1983,NaN,15,DOB,2.5,5.95333333333333,0.304027289223505,63.2,0,0,0,39.20928,0,10,0,0,10
limax_pkpd_v50,bicarbonate,Irving1983,NaN,15,DOB,3,4.44,0.242358779040038,63.2,0,0,0,39.20928,0,10,0,0,10
limax_pkpd_v50,bicarbonate,Irving1983,NaN,15,DOB,4,2.61333333333333,0.184720008340952,63.2,0,0,0,39.20928,0,10,0,0,10
limax_pkpd_v50,bicarbonate,Irving1983,NaN,15,DOB,5,1.57333333333333,0.197420401212273,63.2,0,0,0,39.20928,0,10,0,0,10
limax_pkpd_v50,bicarbonate,Irving1983,NaN,15,DOB,6,0.95,0.211738832842097,63.2,0,0,0,39.20928,0,10,0,0,10
limax_pkpd_v50,bicarbonate,Barstow1990,NaN,6,DOB,0.017,285.47,NaN,74.7,0,0,0,73,0,10,0,0,10
limax_pkpd_v50,bicarbonate,Barstow1990,NaN,6,DOB,0.058833333333333,200.7,NaN,74.7,0,0,0,73,0,10,0,0,10
limax_pkpd_v50,bicarbonate,Barstow1990,NaN,6,DOB,0.086666666666667,153.05,NaN,74.7,0,0,0,73,0,10,0,0,10
limax_pkpd_v50,bicarbonate,Barstow1990,NaN,6,DOB,0.1255,127.76,NaN,74.7,0,0,0,73,0,10,0,0,10
limax_pkpd_v50,bicarbonate,Barstow1990,NaN,6,DOB,0.1505,109.58,NaN,74.7,0,0,0,73,0,10,0,0,10
limax_pkpd_v50,bicarbonate,Barstow1990,NaN,6,DOB,0.208833333333333,89.85,NaN,74.7,0,0,0,73,0,10,0,0,10
limax_pkpd_v50,bicarbonate,Barstow1990,NaN,6,DOB,0.258666666666667,83.61,NaN,74.7,0,0,0,73,0,10,0,0,10
limax_pkpd_v50,bicarbonate,Barstow1990,NaN,6,DOB,0.350166666666667,69.19,NaN,74.7,0,0,0,73,0,10,0,0,10
limax_pkpd_v50,bicarbonate,Barstow1990,NaN,6,DOB,0.546833333333333,50.49,NaN,74.7,0,0,0,73,0,10,0,0,10
limax_pkpd_v50,bicarbonate,Barstow1990,NaN,6,DOB,0.7575,40.7,NaN,74.7,0,0,0,73,0,10,0,0,10
limax_pkpd_v50,bicarbonate,Barstow1990,NaN,6,DOB,1.02333333333333,31.94,NaN,74.7,0,0,0,73,0,10,0,0,10
limax_pkpd_v50,bicarbonate,Barstow1990,NaN,6,DOB,1.51066666666667,22.52,NaN,74.7,0,0,0,73,0,10,0,0,10
limax_pkpd_v50,bicarbonate,Barstow1990,NaN,6,DOB,2.012,16.77,NaN,74.7,0,0,0,73,0,10,0,0,10
limax_pkpd_v50,bicarbonate,Barstow1990,NaN,6,DOB,3.01183333333333,7.83,NaN,74.7,0,0,0,73,0,10,0,0,10
limax_pkpd_v50,bicarbonate,Barstow1990,NaN,6,DOB,3.5325,5.09,NaN,74.7,0,0,0,73,0,10,0,0,10
limax_pkpd_v50,bicarbonate,Barstow1990,NaN,6,DOB,3.9175,3.59,NaN,74.7,0,0,0,73,0,10,0,0,10
limax_pkpd_v50,bicarbonate,Roecker2001,NaN,8,DOB,0.015521506666667,1836.4786,NaN,74.7,0,0,0,875,0,10,0,0,10
limax_pkpd_v50,bicarbonate,Roecker2001,NaN,8,DOB,0.015555805,1663.9188,NaN,74.7,0,0,0,875,0,10,0,0,10
limax_pkpd_v50,bicarbonate,Roecker2001,NaN,8,DOB,0.000393081766667,50.955414,NaN,74.7,0,0,0,875,0,10,0,0,10
limax_pkpd_v50,bicarbonate,Roecker2001,NaN,8,DOB,0.0018867925,8356.6875,NaN,74.7,0,0,0,875,0,10,0,0,10
limax_pkpd_v50,bicarbonate,Roecker2001,NaN,8,DOB,0.002987421333333,10878.98,NaN,74.7,0,0,0,875,0,10,0,0,10
limax_pkpd_v50,bicarbonate,Roecker2001,NaN,8,DOB,0.004481131666667,10292.993,NaN,74.7,0,0,0,875,0,10,0,0,10
limax_pkpd_v50,bicarbonate,Roecker2001,NaN,8,DOB,0.005738993333333,8866.242,NaN,74.7,0,0,0,875,0,10,0,0,10
