study	group	subjects	time	recovery	recovery_pm_se	recovery_se	recovery_sd
Kasicka-Jonderko2011	18d	12	0	0.00	-0.99	0.99	3.43
Kasicka-Jonderko2011	18d	12	3	4.34	3.40	0.94	3.27
Kasicka-Jonderko2011	18d	12	6	12.97	11.93	1.04	3.59
Kasicka-Jonderko2011	18d	12	9	21.75	20.75	0.99	3.43
Kasicka-Jonderko2011	18d	12	12	30.19	29.15	1.04	3.59
Kasicka-Jonderko2011	18d	12	15	30.05	28.92	1.13	3.92
Kasicka-Jonderko2011	18d	12	18	29.67	28.68	0.99	3.43
Kasicka-Jonderko2011	18d	12	21	28.07	27.08	0.99	3.43
Kasicka-Jonderko2011	18d	12	24	27.59	26.56	1.04	3.59
Kasicka-Jonderko2011	18d	12	27	26.13	25.14	0.99	3.43
Kasicka-Jonderko2011	18d	12	30	24.53	23.58	0.94	3.27
Kasicka-Jonderko2011	18d	12	40	20.19	19.20	0.99	3.43
Kasicka-Jonderko2011	18d	12	50	17.83	16.79	1.04	3.59
Kasicka-Jonderko2011	18d	12	60	15.42	14.43	0.99	3.43
Kasicka-Jonderko2011	18d	12	75	13.02	12.03	0.99	3.43
Kasicka-Jonderko2011	18d	12	90	11.13	10.19	0.94	3.27
Kasicka-Jonderko2011	18d	12	105	9.95	8.92	1.04	3.59
Kasicka-Jonderko2011	18d	12	120	8.68	7.69	0.99	3.43
Kasicka-Jonderko2011	18d	12	150	6.79	5.90	0.90	3.10
Kasicka-Jonderko2011	18d	12	180	5.09	4.10	0.99	3.43

