study	group	subjects	time	recovery	recovery_pm_se	recovery_se	recovery_sd
Kasicka-Jonderko2011	2d	12	0	0.00	0.14	0.14	0.48
Kasicka-Jonderko2011	2d	12	3	4.86	4.95	0.09	0.32
Kasicka-Jonderko2011	2d	12	6	13.98	13.38	0.60	2.09
Kasicka-Jonderko2011	2d	12	9	23.70	25.18	1.48	5.13
Kasicka-Jonderko2011	2d	12	12	29.53	31.99	2.45	8.50
Kasicka-Jonderko2011	2d	12	15	30.23	27.68	2.55	8.82
Kasicka-Jonderko2011	2d	12	18	30.23	27.77	2.45	8.50
Kasicka-Jonderko2011	2d	12	21	28.98	26.94	2.04	7.06
Kasicka-Jonderko2011	2d	12	24	27.91	26.52	1.39	4.81
Kasicka-Jonderko2011	2d	12	27	26.15	24.99	1.16	4.01
Kasicka-Jonderko2011	2d	12	30	25.04	26.20	1.16	4.01
Kasicka-Jonderko2011	2d	12	40	20.68	21.15	0.46	1.60
Kasicka-Jonderko2011	2d	12	50	18.00	18.32	0.32	1.12
Kasicka-Jonderko2011	2d	12	60	15.59	16.10	0.51	1.76
Kasicka-Jonderko2011	2d	12	75	13.22	13.41	0.19	0.64
Kasicka-Jonderko2011	2d	12	90	11.32	11.09	0.23	0.80
Kasicka-Jonderko2011	2d	12	105	9.74	10.11	0.37	1.28
Kasicka-Jonderko2011	2d	12	120	8.44	8.53	0.09	0.32
Kasicka-Jonderko2011	2d	12	150	6.67	7.00	0.32	1.12
Kasicka-Jonderko2011	2d	12	180	5.05	4.86	0.19	0.64

