study	group	n	time	recovery	recovery_pm_se	recovery_se	recovery_sd	cum	cum_pm_se	cum_se	cum_sd
Ciccocioppo2003	adult	28	0	0.00	0.51	0.51	2.68	0.00	0.75	0.75	3.99
Ciccocioppo2003	adult	28	15	38.36	40.93	2.56	13.57	3.85	4.43	0.58	3.06
Ciccocioppo2003	adult	28	30	28.50	30.71	2.22	11.72	11.92	12.50	0.58	3.05
Ciccocioppo2003	adult	28	45	24.03	25.70	1.67	8.84	17.47	18.30	0.83	4.39
Ciccocioppo2003	adult	28	60	19.45	20.62	1.17	6.17	21.87	23.17	1.30	6.87
Ciccocioppo2003	adult	28	75	17.47	18.64	1.17	6.17	25.47	26.84	1.37	7.26
Ciccocioppo2003	adult	28	90	14.10	15.14	1.05	5.55	30.41	31.99	1.59	8.40
Ciccocioppo2003	adult	28	105	12.39	13.24	0.85	4.52	34.87	36.42	1.55	8.21
Ciccocioppo2003	adult	28	120	10.22	10.88	0.66	3.50	39.81	41.76	1.95	10.31

