study	n	application	time_min	time	apap	apap_cv	apap_sd
Albert1974	10	tablet	10	0.1666666667	2.06	160	3.296
Albert1974	10	tablet	20	0.3333333333	4.24	135	5.724
Albert1974	10	tablet	30	0.5	4.91	83.4	4.09494
Albert1974	10	tablet	40	0.6666666667	5.69	42.7	2.42963
Albert1974	10	tablet	60	1	6.36	24.6	1.56456
Albert1974	10	tablet	120	2	4.94	23	1.1362
Albert1974	10	tablet	240	4	2.54	13	0.3302
Albert1974	10	tablet	360	6	1.5	13.8	0.207
Albert1974	10	tablet	480	8	0.83	21.7	0.18011
Albert1974	10	tablet	720	12	0.34	22.6	0.07684

